Title,score,budget,gross,Profitability,Marketing Amount,Pre-Production Amount,VFX Amount,Post Production Amount,Music Amount,Distribution Amount,released_epoch,genre_encoded,star_encoded,success
Wolfen,6.3,0.047752809,0.003732282,0.054784204,0.031835206,0.047752809,0.021794872,0.047752809,0.071629213,0.047752809,364780800,10,50,0
Student Bodies,5.5,0.063505062,0.001814185,0.050785654,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,365990400,4,1530,0
Prince of the City,7.5,0.024157303,0.002853374,0.056914602,0.012883895,0.029525593,0.011025641,0.024157303,0.036235955,0.024157303,367632000,5,2681,0
The Hand,5.5,0.064366879,0.000859629,0.049693039,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,356918400,6,1851,0
Continental Divide,6.2,0.063505062,0.005471335,0.054547129,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,369619200,4,1278,0
Diva,7.2,0.0,3.86e-05,0.057086457,0.0,0.0,0.0,0.0,0.0,0.0,388368000,11,2754,1
Venom,5.8,0.036025728,0.001836737,0.054342687,0.024017152,0.036025728,0.016442512,0.036025728,0.054038592,0.036025728,381110400,10,1520,0
Fort Apache the Bronx,6.7,0.062819005,0.010255523,0.05955602,0.033503469,0.076778783,0.028671238,0.062819005,0.094228507,0.062819005,350265600,5,2091,0
Eyes of a Stranger,6.0,0.002247191,0.000392883,0.057201559,0.001498127,0.002247191,0.001025641,0.002247191,0.003370787,0.002247191,354499200,10,1575,0
Zorro: The Gay Blade,6.2,0.163158987,0.051105022,0.088667101,0.163158987,0.163158987,0.14893487,0.163158987,0.163158987,0.163158987,364176000,0,887,0
Under the Rainbow,5.4,0.056179775,0.006612175,0.056662544,0.037453184,0.06866417,0.012820513,0.056179775,0.056179775,0.056179775,365385600,4,411,0
Carbon Copy,5.6,0.016853933,0.003359946,0.058374837,0.011235955,0.020599251,0.003846154,0.016853933,0.016853933,0.016853933,370224000,4,893,0
The Incredible Shrinking Woman,5.5,0.063505062,0.007115634,0.056238334,0.042336708,0.077617298,0.014492181,0.063505062,0.063505062,0.063505062,349660800,4,1617,0
The Night the Lights Went Out in Georgia,6.0,0.064366879,0.005241469,0.054199876,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,360547200,6,1538,0
Quartet,6.3,0.064366879,4.23e-06,0.048813238,0.030037877,0.09297438,0.014688852,0.064366879,0.064366879,0.064366879,372816000,6,1037,0
Graduation Day,4.9,0.000702247,0.016637974,0.074108744,0.000468165,0.000702247,0.000320513,0.000702247,0.001053371,0.000702247,357523200,10,459,1
Modern Problems,5.1,0.02247191,0.009185792,0.063644403,0.014981273,0.027465668,0.005128205,0.02247191,0.02247191,0.02247191,378086400,4,411,0
Pennies from Heaven,6.5,0.061797753,0.003221109,0.052452272,0.028838951,0.089263421,0.014102564,0.061797753,0.061797753,0.061797753,378691200,6,2510,0
